panel,x,sorted,random,maxwellian
b_survival,1.015237,0.0009638671875,0.3100447998,0.3099927751
b_survival,1.048643,0.0009632568359,0.2943724365,0.2943424063
b_survival,1.083148,0.000962890625,0.2788282471,0.278742632
b_survival,1.118789,0.0009624023438,0.2632963867,0.2632302787
b_survival,1.155602,0.0009621582031,0.2478841553,0.2478440023
b_survival,1.193627,0.0009617919922,0.2326170654,0.2326240931
b_survival,1.232902,0.0009611816406,0.2176308594,0.217612231
b_survival,1.273470,0.0009606933594,0.2028758545,0.2028511871
b_survival,1.315373,0.0009602050781,0.1884915771,0.1883844699
b_survival,1.358655,0.0009595947266,0.1744239502,0.1742559147
b_survival,1.403361,0.0009587402344,0.160621582,0.1605092165
b_survival,1.449538,0.0009582519531,0.147309082,0.1471874088
b_survival,1.497234,0.0009577636719,0.1343800049,0.1343322925
b_survival,1.546500,0.0009572753906,0.122052124,0.1219838224
b_survival,1.597387,0.0009569091797,0.110229126,0.1101794596
b_survival,1.649948,0.0009559326172,0.09902807617,0.09895350392
b_survival,1.704239,0.0009553222656,0.0884005127,0.08833642122
b_survival,1.760316,0.0009537353516,0.07837365723,0.07835418435
b_survival,1.818239,0.0009532470703,0.06900708008,0.06902764931
b_survival,1.878067,0.0009525146484,0.06034460449,0.06037199026
b_survival,1.939864,0.0009517822266,0.05234594727,0.05239621852
b_survival,2.003694,0.0009505615234,0.0450625,0.04510281123
b_survival,2.069625,0.0009495849609,0.03847412109,0.03848747443
b_survival,2.137725,0.0009481201172,0.03251538086,0.03253906309
b_survival,2.208066,0.000947265625,0.02722900391,0.02723967645
b_survival,2.280721,0.0009459228516,0.02254748535,0.02256494091
b_survival,2.355767,0.0009443359375,0.0184708252,0.01848448549
b_survival,2.433283,0.0009432373047,0.0149642334,0.0149626051
b_survival,2.513349,0.0009420166016,0.01195935059,0.01195909716
b_survival,2.596050,0.0009404296875,0.00943359375,0.0094302458
b_survival,2.681471,0.0009392089844,0.00732409668,0.007329917874
b_survival,2.769704,0.0009382324219,0.005604248047,0.005610725629
b_survival,2.860840,0.0009368896484,0.004204833984,0.00422520429
b_survival,2.954974,0.000935546875,0.003113647461,0.003126949126
b_survival,3.052207,0.0009344482422,0.002260498047,0.002271657089
b_survival,3.152638,0.0009323730469,0.001611206055,0.001618022992
b_survival,3.256374,0.0009306640625,0.001124755859,0.00112844939
